timestamp,gender,age,country,highest level of edu,profession,comorbid,infected,closest covid case,primary source of news ,preferred sm platform,sm activity,covid19 stats,preferred healthcare sys,belief in vaccination,predicted end
04-08-2020 19:25,Male,56,India,Bachelor’s degree,Non-healthcare related profession,No,No,Do not personally know anyone who has been infected,Social Media,Twitter,2,I check every day,Home Remedies,5,The virus will mutate and become mild or harmless in the next few months
04-08-2020 19:25,Female,54,India,Master’s degree,Non-healthcare related profession,No,No,Do not personally know anyone who has been infected,Newspaper,Facebook,1,I don't pay attention to numbers,Ayurveda,3,I do not see an end to this pandemic in the foreseeable future. This virus is here to stay.
04-08-2020 19:25,Male,64,India,Doctorate degree,Healthcare (Doctor/Nurse/Paramedic),Yes,No,Neighbour (within apartment complex or immediate neighbourhood),News apps/ Internet,Whatsapp,3,I check once every few days,Allopathy,5,The virus will mutate and become mild or harmless in the next few months
04-08-2020 19:25,Male,54,India,Master’s degree,Non-healthcare related profession,No,No,Do not personally know anyone who has been infected,Newspaper,Whatsapp,5,I don't pay attention to numbers,Ayurveda,2,I do not see an end to this pandemic in the foreseeable future. This virus is here to stay.
04-08-2020 19:25,Female,42,India,Master’s degree,Non-healthcare related profession,No,No,Do not personally know anyone who has been infected,Other,Other,2,I check every day,Allopathy,4,"With intermittent lockdown and releases, this virus will linger on it its current form for the next 1-2 years"
04-08-2020 19:26,Male,49,India,Master’s degree,Non-healthcare related profession,Yes,No,Do not personally know anyone who has been infected,News apps/ Internet,Whatsapp,5,I check once a while (weekly/bi-weekly),Homeopathy,3,I do not see an end to this pandemic in the foreseeable future. This virus is here to stay.
04-08-2020 19:26,Male,33,India,Doctorate degree,Non-healthcare related profession,No,No,Do not personally know anyone who has been infected,News apps/ Internet,Facebook,4,I check once every few days,Ayurveda,3,The virus will mutate and become mild or harmless in the next few months
04-08-2020 19:26,Male,54,India,Master’s degree,Non-healthcare related profession,No,No,Do not personally know anyone who has been infected,Television,Whatsapp,3,I check every day,Homeopathy,3,"Without further lockdown, this virus will spread rapidly in the next 2-4 months to infect most of the population causing herd immunity"
04-08-2020 19:27,Male,40,Outside India,Professional degree,Healthcare (Doctor/Nurse/Paramedic),Yes,No,Colleague,Newspaper,Whatsapp,4,I check once every few days,Allopathy,5,An effective vaccine will be widely available within 4-6 months
04-08-2020 19:27,Female,36,India,Master’s degree,Currently not working,No,No,Neighbour (within apartment complex or immediate neighbourhood),News apps/ Internet,Whatsapp,4,I check every day,Allopathy,5,"Without further lockdown, this virus will spread rapidly in the next 2-4 months to infect most of the population causing herd immunity"
04-08-2020 19:27,Male,52,India,Master’s degree,Non-healthcare related profession,No,No,Family member but different household,News apps/ Internet,Whatsapp,3,I check every day,Allopathy,4,An effective vaccine will be widely available within 4-6 months
04-08-2020 19:27,Female,56,India,Professional degree,Healthcare (Doctor/Nurse/Paramedic),Yes,No,Neighbour (within apartment complex or immediate neighbourhood),Social Media,Whatsapp,4,I check once a while (weekly/bi-weekly),Allopathy,5,"With intermittent lockdown and releases, this virus will linger on it its current form for the next 1-2 years"
04-08-2020 19:28,Male,36,India,Professional degree,Non-healthcare related profession,No,No,Colleague,News apps/ Internet,Facebook,5,I check every day,Allopathy,5,I do not see an end to this pandemic in the foreseeable future. This virus is here to stay.
04-08-2020 19:28,Female,42,India,Doctorate degree,Healthcare (Doctor/Nurse/Paramedic),Yes,No,Colleague,Social Media,Facebook,5,I check once a while (weekly/bi-weekly),Ayurveda,2,I do not see an end to this pandemic in the foreseeable future. This virus is here to stay.
04-08-2020 19:28,Female,41,India,Professional degree,Currently not working,No,No,Neighbour (within apartment complex or immediate neighbourhood),Newspaper,Whatsapp,5,I am keeping track of real time Covid-19 data,Allopathy,4,"Without further lockdown, this virus will spread rapidly in the next 2-4 months to infect most of the population causing herd immunity"
04-08-2020 19:28,Female,42,India,Master’s degree,Non-healthcare related profession,No,No,Neighbour (within apartment complex or immediate neighbourhood),Social Media,Other,3,I check once a while (weekly/bi-weekly),Allopathy,5,An effective vaccine will be widely available within 4-6 months
04-08-2020 19:28,Female,50,India,Bachelor’s degree,Currently not working,Yes,No,Do not personally know anyone who has been infected,News apps/ Internet,Whatsapp,4,I check every day,Home Remedies,5,An effective vaccine will be widely available within 4-6 months
04-08-2020 19:29,Female,56,India,Professional degree,Healthcare (Doctor/Nurse/Paramedic),No,No,Do not personally know anyone who has been infected,News apps/ Internet,Whatsapp,4,I don't pay attention to numbers,Allopathy,5,"Without further lockdown, this virus will spread rapidly in the next 2-4 months to infect most of the population causing herd immunity"
04-08-2020 19:29,Female,33,India,Professional degree,Non-healthcare related profession,No,Prefer not to say,Neighbour (within apartment complex or immediate neighbourhood),News apps/ Internet,Whatsapp,3,I check once every few days,Home Remedies,4,An effective vaccine will be widely available within 4-6 months
04-08-2020 19:29,Male,46,India,Doctorate degree,Healthcare (Doctor/Nurse/Paramedic),No,No,Do not personally know anyone who has been infected,Television,Whatsapp,2,I check once a while (weekly/bi-weekly),Allopathy,5,"With intermittent lockdown and releases, this virus will linger on it its current form for the next 1-2 years"
04-08-2020 19:29,Male,58,India,Master’s degree,Non-healthcare related profession,No,No,Family member residing in the same household,Newspaper,Whatsapp,4,I am keeping track of real time Covid-19 data,Ayurveda,3,An effective vaccine will be widely available within 4-6 months
04-08-2020 19:30,Male,55,India,Master’s degree,Non-healthcare related profession,Yes,Yes,Myself,News apps/ Internet,Whatsapp,4,I check every day,Other,5,An effective vaccine will be widely available within 4-6 months
04-08-2020 19:30,Male,53,India,Master’s degree,Healthcare (Doctor/Nurse/Paramedic),No,No,Neighbour (within apartment complex or immediate neighbourhood),Newspaper,Twitter,3,I check once a while (weekly/bi-weekly),Allopathy,3,"With intermittent lockdown and releases, this virus will linger on it its current form for the next 1-2 years"
04-08-2020 19:30,Female,41,India,Professional degree,Currently not working,No,No,Neighbour (within apartment complex or immediate neighbourhood),News apps/ Internet,Whatsapp,3,I check once every few days,Allopathy,4,An effective vaccine will be widely available within 4-6 months
04-08-2020 19:30,Female,53,Outside India,Master’s degree,Non-healthcare related profession,No,No,Do not personally know anyone who has been infected,Other,Whatsapp,3,I check once a while (weekly/bi-weekly),Allopathy,5,An effective vaccine will be widely available within 4-6 months
04-08-2020 19:30,Male,33,India,Professional degree,Healthcare (Doctor/Nurse/Paramedic),Yes,No,Colleague,News apps/ Internet,Facebook,5,I check once a while (weekly/bi-weekly),Allopathy,5,"Without further lockdown, this virus will spread rapidly in the next 2-4 months to infect most of the population causing herd immunity"
04-08-2020 19:30,Female,50,India,Professional degree,Currently not working,No,No,Neighbour (within apartment complex or immediate neighbourhood),Television,Whatsapp,5,I check once every few days,Allopathy,4,The virus will mutate and become mild or harmless in the next few months
04-08-2020 19:30,Male,24,India,Doctorate degree,Non-healthcare related profession,No,No,Neighbour (within apartment complex or immediate neighbourhood),News apps/ Internet,Whatsapp,4,I don't pay attention to numbers,Ayurveda,4,An effective vaccine will be widely available within 4-6 months
04-08-2020 19:30,Female,54,India,Professional degree,Healthcare (Doctor/Nurse/Paramedic),No,No,Colleague,News apps/ Internet,Whatsapp,5,I check every day,Allopathy,5,"With intermittent lockdown and releases, this virus will linger on it its current form for the next 1-2 years"
04-08-2020 19:31,Male,42,India,Master’s degree,Non-healthcare related profession,Yes,No,Neighbour (within apartment complex or immediate neighbourhood),Social Media,Facebook,3,I check once every few days,Allopathy,4,An effective vaccine will be widely available within 4-6 months
04-08-2020 19:31,Female,34,India,Master’s degree,Currently not working,No,No,Do not personally know anyone who has been infected,News apps/ Internet,Other,4,I check once every few days,Ayurveda,4,The virus will mutate and become mild or harmless in the next few months
04-08-2020 19:31,Male,40,India,Bachelor’s degree,Non-healthcare related profession,No,No,Do not personally know anyone who has been infected,Newspaper,Whatsapp,2,I check every day,Home Remedies,5,An effective vaccine will be widely available within 4-6 months
04-08-2020 19:32,Female,40,India,Professional degree,Healthcare (Doctor/Nurse/Paramedic),No,No,Colleague,News apps/ Internet,Whatsapp,2,I check once every few days,Allopathy,5,I do not see an end to this pandemic in the foreseeable future. This virus is here to stay.
04-08-2020 19:32,Female,44,India,Bachelor’s degree,Currently not working,No,No,Neighbour (within apartment complex or immediate neighbourhood),News apps/ Internet,Facebook,3,I check once every few days,Allopathy,5,An effective vaccine will be widely available within 4-6 months
04-08-2020 19:32,Female,43,India,Master’s degree,Healthcare (Doctor/Nurse/Paramedic),Yes,No,Do not personally know anyone who has been infected,Social Media,Whatsapp,4,I don't pay attention to numbers,Home Remedies,4,The virus will mutate and become mild or harmless in the next few months
04-08-2020 19:33,Male,43,India,Master’s degree,Non-healthcare related profession,No,No,Neighbour (within apartment complex or immediate neighbourhood),News apps/ Internet,Whatsapp,4,I check once every few days,Home Remedies,4,"With intermittent lockdown and releases, this virus will linger on it its current form for the next 1-2 years"
04-08-2020 19:33,Female,50,Outside India,Master’s degree,Non-healthcare related profession,No,No,Do not personally know anyone who has been infected,Social Media,Facebook,4,I check once every few days,Home Remedies,3,An effective vaccine will be widely available within 4-6 months
04-08-2020 19:33,Female,39,India,Master’s degree,Healthcare (Doctor/Nurse/Paramedic),Yes,No,Colleague,Social Media,Whatsapp,4,I check once every few days,Allopathy,4,"Without further lockdown, this virus will spread rapidly in the next 2-4 months to infect most of the population causing herd immunity"
04-08-2020 19:33,Male,73,India,"High school graduate, diploma or the equivalent",Currently not working,No,No,Do not personally know anyone who has been infected,Newspaper,Other,5,I check every day,Home Remedies,5,An effective vaccine will be widely available within 4-6 months
04-08-2020 19:33,Male,38,India,Master’s degree,Healthcare (Doctor/Nurse/Paramedic),Yes,No,Neighbour (within apartment complex or immediate neighbourhood),Television,Whatsapp,3,I check every day,Allopathy,5,An effective vaccine will be widely available within 4-6 months
04-08-2020 19:33,Female,37,India,Bachelor’s degree,Non-healthcare related profession,No,No,Neighbour (within apartment complex or immediate neighbourhood),News apps/ Internet,Twitter,1,I check once a while (weekly/bi-weekly),Allopathy,5,"With intermittent lockdown and releases, this virus will linger on it its current form for the next 1-2 years"
04-08-2020 19:33,Male,43,India,Bachelor’s degree,Non-healthcare related profession,No,No,Do not personally know anyone who has been infected,Other,Facebook,4,I don't pay attention to numbers,Other,5,"With intermittent lockdown and releases, this virus will linger on it its current form for the next 1-2 years"
04-08-2020 19:33,Male,55,India,Professional degree,Healthcare (Doctor/Nurse/Paramedic),No,No,Colleague,News apps/ Internet,Whatsapp,5,I don't pay attention to numbers,Allopathy,5,The virus will mutate and become mild or harmless in the next few months
04-08-2020 19:34,Female,47,India,Bachelor’s degree,Currently not working,No,No,Do not personally know anyone who has been infected,News apps/ Internet,Other,3,I check every day,Home Remedies,3,An effective vaccine will be widely available within 4-6 months
04-08-2020 19:34,Female,34,India,Master’s degree,Currently not working,No,No,Neighbour (within apartment complex or immediate neighbourhood),Other,Whatsapp,3,I check once a while (weekly/bi-weekly),Ayurveda,3,The virus will mutate and become mild or harmless in the next few months
04-08-2020 19:34,Male,53,India,Professional degree,Non-healthcare related profession,Yes,No,Colleague,Social Media,Whatsapp,4,I check once every few days,Allopathy,4,"Without further lockdown, this virus will spread rapidly in the next 2-4 months to infect most of the population causing herd immunity"
04-08-2020 19:35,Female,47,India,Master’s degree,Non-healthcare related profession,Yes,No,Neighbour (within apartment complex or immediate neighbourhood),Television,Whatsapp,2,I check every day,Allopathy,5,"Without further lockdown, this virus will spread rapidly in the next 2-4 months to infect most of the population causing herd immunity"
04-08-2020 19:35,Male,43,India,Master’s degree,Non-healthcare related profession,No,No,Neighbour (within apartment complex or immediate neighbourhood),Social Media,Facebook,5,I don't pay attention to numbers,Ayurveda,5,The virus will mutate and become mild or harmless in the next few months
04-08-2020 19:35,Male,47,India,Master’s degree,Non-healthcare related profession,Yes,No,Neighbour (within apartment complex or immediate neighbourhood),News apps/ Internet,Whatsapp,4,I check once every few days,Allopathy,4,"Without further lockdown, this virus will spread rapidly in the next 2-4 months to infect most of the population causing herd immunity"
04-08-2020 19:36,Female,54,India,Doctorate degree,Healthcare (Doctor/Nurse/Paramedic),Yes,No,Do not personally know anyone who has been infected,Television,Whatsapp,4,I check every day,Allopathy,5,"Without further lockdown, this virus will spread rapidly in the next 2-4 months to infect most of the population causing herd immunity"
04-08-2020 19:36,Female,34,Outside India,Professional degree,Non-healthcare related profession,No,No,Do not personally know anyone who has been infected,Social Media,Facebook,3,I check once every few days,Home Remedies,4,"With intermittent lockdown and releases, this virus will linger on it its current form for the next 1-2 years"
04-08-2020 19:36,Male,42,India,Bachelor’s degree,Non-healthcare related profession,No,No,Colleague,Social Media,Facebook,3,I check every day,Other,5,An effective vaccine will be widely available within 4-6 months
04-08-2020 19:36,Female,50,India,Bachelor’s degree,Non-healthcare related profession,No,Yes,Myself,News apps/ Internet,Whatsapp,3,I check once every few days,Ayurveda,5,The virus will mutate and become mild or harmless in the next few months
04-08-2020 19:36,Male,40,India,Bachelor’s degree,Non-healthcare related profession,No,No,Do not personally know anyone who has been infected,Television,Instagram,3,I check once every few days,Home Remedies,3,I do not see an end to this pandemic in the foreseeable future. This virus is here to stay.
04-08-2020 19:38,Female,39,India,Master’s degree,"Healthcare related (Pharmaceuticals/Biotechnology/Biomedical Engineering, etc)",No,No,Do not personally know anyone who has been infected,Other,Other,3,I check once a while (weekly/bi-weekly),Home Remedies,4,I do not see an end to this pandemic in the foreseeable future. This virus is here to stay.
04-08-2020 19:38,Male,55,India,Professional degree,Non-healthcare related profession,No,No,Do not personally know anyone who has been infected,Newspaper,Facebook,5,I check every day,Allopathy,5,An effective vaccine will be widely available within 4-6 months
04-08-2020 19:38,Male,40,India,Master’s degree,Non-healthcare related profession,No,No,Do not personally know anyone who has been infected,News apps/ Internet,Whatsapp,3,I check every day,Homeopathy,4,An effective vaccine will be widely available within 4-6 months
04-08-2020 19:39,Female,46,Outside India,Master’s degree,Healthcare (Doctor/Nurse/Paramedic),No,No,Neighbour (within apartment complex or immediate neighbourhood),News apps/ Internet,Whatsapp,3,I check every day,Ayurveda,3,An effective vaccine will be widely available within 4-6 months
04-08-2020 19:39,Male,45,India,Master’s degree,Non-healthcare related profession,No,No,Neighbour (within apartment complex or immediate neighbourhood),News apps/ Internet,Other,5,I check once every few days,Allopathy,5,"With intermittent lockdown and releases, this virus will linger on it its current form for the next 1-2 years"
04-08-2020 19:39,Male,54,India,Bachelor’s degree,Currently not working,Yes,No,Do not personally know anyone who has been infected,Social Media,Whatsapp,5,I don't pay attention to numbers,Allopathy,4,I do not see an end to this pandemic in the foreseeable future. This virus is here to stay.
04-08-2020 19:39,Male,50,India,Bachelor’s degree,Non-healthcare related profession,No,No,Neighbour (within apartment complex or immediate neighbourhood),News apps/ Internet,Whatsapp,5,I am keeping track of real time Covid-19 data,Allopathy,5,I do not see an end to this pandemic in the foreseeable future. This virus is here to stay.
04-08-2020 19:40,Female,31,India,Professional degree,Non-healthcare related profession,No,No,Neighbour (within apartment complex or immediate neighbourhood),Social Media,Whatsapp,5,I check every day,Allopathy,4,An effective vaccine will be widely available within 4-6 months
04-08-2020 19:40,Male,46,India,Master’s degree,Non-healthcare related profession,No,No,Do not personally know anyone who has been infected,News apps/ Internet,Whatsapp,3,I check every day,Allopathy,3,An effective vaccine will be widely available within 4-6 months
04-08-2020 19:41,Female,44,India,Professional degree,Currently not working,No,No,Neighbour (within apartment complex or immediate neighbourhood),Newspaper,Whatsapp,3,I check once a while (weekly/bi-weekly),Allopathy,0,"With intermittent lockdown and releases, this virus will linger on it its current form for the next 1-2 years"
04-08-2020 19:41,Female,39,India,Bachelor’s degree,Non-healthcare related profession,No,No,Do not personally know anyone who has been infected,Television,Whatsapp,3,I check once every few days,Home Remedies,5,The virus will mutate and become mild or harmless in the next few months
04-08-2020 19:41,Male,66,India,Professional degree,Healthcare (Doctor/Nurse/Paramedic),Yes,Yes,Myself,Newspaper,Whatsapp,4,I check once every few days,Allopathy,5,An effective vaccine will be widely available within 4-6 months
04-08-2020 19:41,Male,44,India,Bachelor’s degree,Non-healthcare related profession,No,No,Do not personally know anyone who has been infected,Television,Whatsapp,3,I check once every few days,Ayurveda,2,An effective vaccine will be widely available within 4-6 months
04-08-2020 19:41,Male,55,Outside India,Doctorate degree,Healthcare (Doctor/Nurse/Paramedic),No,No,Colleague,News apps/ Internet,Facebook,4,I am keeping track of real time Covid-19 data,Allopathy,5,An effective vaccine will be widely available within 4-6 months
04-08-2020 19:42,Female,51,India,Master’s degree,Non-healthcare related profession,No,No,Family member but different household,News apps/ Internet,Facebook,4,I check once a while (weekly/bi-weekly),Allopathy,5,An effective vaccine will be widely available within 4-6 months
04-08-2020 19:42,Male,55,India,Professional degree,Healthcare (Doctor/Nurse/Paramedic),Yes,No,Neighbour (within apartment complex or immediate neighbourhood),Television,Whatsapp,5,I check every day,Allopathy,5,"Without further lockdown, this virus will spread rapidly in the next 2-4 months to infect most of the population causing herd immunity"
04-08-2020 19:42,Female,46,India,Professional degree,Healthcare (Doctor/Nurse/Paramedic),No,No,Neighbour (within apartment complex or immediate neighbourhood),Television,Whatsapp,5,I check once every few days,Allopathy,5,"Without further lockdown, this virus will spread rapidly in the next 2-4 months to infect most of the population causing herd immunity"
04-08-2020 19:42,Female,28,India,Master’s degree,Currently not working,No,No,Do not personally know anyone who has been infected,Television,Facebook,4,I check once every few days,Allopathy,5,An effective vaccine will be widely available within 4-6 months
04-08-2020 19:43,Female,36,India,Professional degree,Healthcare (Doctor/Nurse/Paramedic),No,No,Do not personally know anyone who has been infected,News apps/ Internet,Whatsapp,3,I check every day,Allopathy,4,"Without further lockdown, this virus will spread rapidly in the next 2-4 months to infect most of the population causing herd immunity"
04-08-2020 19:43,Male,34,India,Doctorate degree,Healthcare (Doctor/Nurse/Paramedic),Yes,No,Family member but different household,Social Media,Instagram,5,I check once a while (weekly/bi-weekly),Allopathy,5,An effective vaccine will be widely available within 4-6 months
04-08-2020 19:43,Male,39,India,Master’s degree,Healthcare (Doctor/Nurse/Paramedic),Yes,No,Neighbour (within apartment complex or immediate neighbourhood),Television,Whatsapp,5,I check every day,Allopathy,5,"Without further lockdown, this virus will spread rapidly in the next 2-4 months to infect most of the population causing herd immunity"
04-08-2020 19:45,Male,39,India,Bachelor’s degree,Non-healthcare related profession,No,No,Neighbour (within apartment complex or immediate neighbourhood),Television,Whatsapp,5,I check once a while (weekly/bi-weekly),Allopathy,5,An effective vaccine will be widely available within 4-6 months
04-08-2020 19:45,Female,58,India,Master’s degree,Currently not working,No,No,Neighbour (within apartment complex or immediate neighbourhood),Other,Whatsapp,3,I check once every few days,Allopathy,3,An effective vaccine will be widely available within 4-6 months
04-08-2020 19:45,Male,35,India,Bachelor’s degree,Non-healthcare related profession,Yes,No,Do not personally know anyone who has been infected,Television,Facebook,3,I check every day,Allopathy,5,"With intermittent lockdown and releases, this virus will linger on it its current form for the next 1-2 years"
04-08-2020 19:46,Male,53,India,Professional degree,Healthcare (Doctor/Nurse/Paramedic),No,No,Colleague,Newspaper,Twitter,3,I check once a while (weekly/bi-weekly),Allopathy,5,I do not see an end to this pandemic in the foreseeable future. This virus is here to stay.
04-08-2020 19:47,Male,57,India,Bachelor’s degree,Non-healthcare related profession,No,No,Do not personally know anyone who has been infected,Newspaper,Other,1,I don't pay attention to numbers,Ayurveda,5,"Without further lockdown, this virus will spread rapidly in the next 2-4 months to infect most of the population causing herd immunity"
04-08-2020 19:47,Male,46,India,Master’s degree,Healthcare (Doctor/Nurse/Paramedic),No,No,Do not personally know anyone who has been infected,Other,Other,3,I am keeping track of real time Covid-19 data,Allopathy,5,I do not see an end to this pandemic in the foreseeable future. This virus is here to stay.
04-08-2020 19:47,Male,44,India,Bachelor’s degree,Non-healthcare related profession,No,No,Neighbour (within apartment complex or immediate neighbourhood),Television,Whatsapp,3,I check once every few days,Home Remedies,3,I do not see an end to this pandemic in the foreseeable future. This virus is here to stay.
04-08-2020 19:48,Male,49,India,Master’s degree,Non-healthcare related profession,Yes,No,Colleague,Social Media,Twitter,4,I check every day,Allopathy,5,An effective vaccine will be widely available within 4-6 months
04-08-2020 19:49,Male,44,India,Master’s degree,Non-healthcare related profession,Yes,No,Neighbour (within apartment complex or immediate neighbourhood),Social Media,Twitter,3,I check once a while (weekly/bi-weekly),Ayurveda,4,I do not see an end to this pandemic in the foreseeable future. This virus is here to stay.
04-08-2020 19:49,Male,47,India,Bachelor’s degree,"Healthcare related (Pharmaceuticals/Biotechnology/Biomedical Engineering, etc)",Yes,No,Neighbour (within apartment complex or immediate neighbourhood),Television,Whatsapp,5,I check once every few days,Allopathy,5,The virus will mutate and become mild or harmless in the next few months
04-08-2020 19:49,Female,38,India,Master’s degree,Currently not working,Yes,No,Do not personally know anyone who has been infected,Television,Whatsapp,5,I check every day,Allopathy,5,An effective vaccine will be widely available within 4-6 months
04-08-2020 19:49,Male,53,Outside India,Professional degree,Healthcare (Doctor/Nurse/Paramedic),No,No,Family member but different household,Other,Whatsapp,4,I check once every few days,Ayurveda,2,The virus will mutate and become mild or harmless in the next few months
04-08-2020 19:50,Male,20,Outside India,"High school graduate, diploma or the equivalent",Currently not working,No,No,Do not personally know anyone who has been infected,Social Media,Facebook,4,I don't pay attention to numbers,Other,5,An effective vaccine will be widely available within 4-6 months
04-08-2020 19:51,Male,40,India,"High school graduate, diploma or the equivalent",Non-healthcare related profession,No,No,Do not personally know anyone who has been infected,Newspaper,Whatsapp,3,I check once a while (weekly/bi-weekly),Home Remedies,5,An effective vaccine will be widely available within 4-6 months
04-08-2020 19:51,Male,56,India,Professional degree,Healthcare (Doctor/Nurse/Paramedic),Yes,No,Colleague,Newspaper,Whatsapp,5,I check every day,Allopathy,5,I do not see an end to this pandemic in the foreseeable future. This virus is here to stay.
04-08-2020 19:52,Male,46,India,Bachelor’s degree,Non-healthcare related profession,No,No,Do not personally know anyone who has been infected,Social Media,Other,5,I check once a while (weekly/bi-weekly),Other,0,The virus will mutate and become mild or harmless in the next few months
04-08-2020 19:52,Female,57,India,Professional degree,Non-healthcare related profession,No,No,Do not personally know anyone who has been infected,News apps/ Internet,Whatsapp,3,I check once every few days,Allopathy,5,"Without further lockdown, this virus will spread rapidly in the next 2-4 months to infect most of the population causing herd immunity"
04-08-2020 19:54,Female,34,India,Master’s degree,Non-healthcare related profession,No,No,Colleague,News apps/ Internet,Whatsapp,3,I check every day,Home Remedies,5,The virus will mutate and become mild or harmless in the next few months
04-08-2020 19:54,Female,36,India,Master’s degree,Non-healthcare related profession,No,No,Neighbour (within apartment complex or immediate neighbourhood),Television,Whatsapp,5,I check once a while (weekly/bi-weekly),Allopathy,5,The virus will mutate and become mild or harmless in the next few months
04-08-2020 19:54,Female,46,India,Professional degree,Healthcare (Doctor/Nurse/Paramedic),No,No,Neighbour (within apartment complex or immediate neighbourhood),Television,Whatsapp,2,I check once every few days,Allopathy,5,"Without further lockdown, this virus will spread rapidly in the next 2-4 months to infect most of the population causing herd immunity"
04-08-2020 19:55,Male,54,India,Professional degree,Non-healthcare related profession,No,No,Colleague,Newspaper,Whatsapp,3,I don't pay attention to numbers,Home Remedies,3,An effective vaccine will be widely available within 4-6 months
04-08-2020 19:56,Female,57,India,Professional degree,Healthcare (Doctor/Nurse/Paramedic),No,No,Neighbour (within apartment complex or immediate neighbourhood),Television,Whatsapp,3,I don't pay attention to numbers,Allopathy,5,An effective vaccine will be widely available within 4-6 months
04-08-2020 19:56,Male,40,India,Professional degree,Healthcare (Doctor/Nurse/Paramedic),Yes,No,Colleague,Other,Whatsapp,3,I check once a while (weekly/bi-weekly),Allopathy,5,"Without further lockdown, this virus will spread rapidly in the next 2-4 months to infect most of the population causing herd immunity"
04-08-2020 19:56,Male,42,India,Professional degree,Healthcare (Doctor/Nurse/Paramedic),Yes,No,Colleague,Social Media,Whatsapp,3,I check once every few days,Allopathy,4,"Without further lockdown, this virus will spread rapidly in the next 2-4 months to infect most of the population causing herd immunity"
04-08-2020 19:58,Male,21,India,Bachelor’s degree,Currently not working,No,No,Do not personally know anyone who has been infected,News apps/ Internet,Instagram,5,I don't pay attention to numbers,Allopathy,5,An effective vaccine will be widely available within 4-6 months
04-08-2020 19:59,Male,54,India,Bachelor’s degree,Non-healthcare related profession,No,No,Do not personally know anyone who has been infected,Television,Whatsapp,5,I check once a while (weekly/bi-weekly),Ayurveda,5,The virus will mutate and become mild or harmless in the next few months
04-08-2020 19:59,Female,48,India,Master’s degree,Non-healthcare related profession,Yes,No,Colleague,Social Media,Instagram,4,I check once a while (weekly/bi-weekly),Home Remedies,5,An effective vaccine will be widely available within 4-6 months
04-08-2020 20:00,Female,34,India,Bachelor’s degree,Non-healthcare related profession,No,No,Neighbour (within apartment complex or immediate neighbourhood),Television,Facebook,3,I check every day,Allopathy,3,I do not see an end to this pandemic in the foreseeable future. This virus is here to stay.
04-08-2020 20:00,Male,50,India,Professional degree,Non-healthcare related profession,No,No,Neighbour (within apartment complex or immediate neighbourhood),Social Media,Whatsapp,3,I check every day,Allopathy,2,An effective vaccine will be widely available within 4-6 months
04-08-2020 20:00,Male,40,India,Master’s degree,Non-healthcare related profession,Yes,No,Do not personally know anyone who has been infected,Newspaper,Whatsapp,3,I check once a while (weekly/bi-weekly),Allopathy,5,"Without further lockdown, this virus will spread rapidly in the next 2-4 months to infect most of the population causing herd immunity"
04-08-2020 20:01,Male,42,India,Master’s degree,"Healthcare related (Pharmaceuticals/Biotechnology/Biomedical Engineering, etc)",Yes,No,Neighbour (within apartment complex or immediate neighbourhood),Social Media,Whatsapp,4,I check once every few days,Allopathy,5,The virus will mutate and become mild or harmless in the next few months
04-08-2020 20:01,Female,41,India,Professional degree,Currently not working,No,No,Colleague,Television,Whatsapp,3,I don't pay attention to numbers,Ayurveda,5,The virus will mutate and become mild or harmless in the next few months
04-08-2020 20:01,Female,47,India,Master’s degree,Currently not working,Yes,No,Neighbour (within apartment complex or immediate neighbourhood),Social Media,Facebook,5,I check once a while (weekly/bi-weekly),Allopathy,5,An effective vaccine will be widely available within 4-6 months
04-08-2020 20:02,Female,44,India,Bachelor’s degree,Currently not working,No,No,Do not personally know anyone who has been infected,Newspaper,Whatsapp,4,I check once every few days,Home Remedies,5,An effective vaccine will be widely available within 4-6 months
04-08-2020 20:02,Male,47,India,Master’s degree,Healthcare (Doctor/Nurse/Paramedic),Yes,No,Colleague,Other,Other,5,I check once a while (weekly/bi-weekly),Allopathy,5,I do not see an end to this pandemic in the foreseeable future. This virus is here to stay.
04-08-2020 20:02,Female,49,India,Bachelor’s degree,Currently not working,Yes,No,Family member but different household,Social Media,Whatsapp,5,I check every day,Allopathy,4,The virus will mutate and become mild or harmless in the next few months
04-08-2020 20:03,Female,42,India,Bachelor’s degree,Currently not working,No,No,Neighbour (within apartment complex or immediate neighbourhood),News apps/ Internet,Instagram,4,I check once every few days,Allopathy,5,An effective vaccine will be widely available within 4-6 months
04-08-2020 20:03,Male,37,India,Professional degree,Healthcare (Doctor/Nurse/Paramedic),Yes,No,Family member but different household,News apps/ Internet,Whatsapp,5,I check every day,Allopathy,5,An effective vaccine will be widely available within 4-6 months
04-08-2020 20:04,Female,38,India,Master’s degree,Currently not working,Yes,No,Colleague,News apps/ Internet,Whatsapp,4,I don't pay attention to numbers,Allopathy,3,An effective vaccine will be widely available within 4-6 months
04-08-2020 20:05,Female,52,India,Master’s degree,Non-healthcare related profession,No,No,Colleague,Other,Other,4,I check every day,Allopathy,5,I do not see an end to this pandemic in the foreseeable future. This virus is here to stay.
04-08-2020 20:05,Female,44,India,Doctorate degree,Healthcare (Doctor/Nurse/Paramedic),Yes,No,Family member but different household,News apps/ Internet,Whatsapp,3,I check every day,Allopathy,5,"With intermittent lockdown and releases, this virus will linger on it its current form for the next 1-2 years"
